dominant_freq,peak_freq,total_power,avg_power,spectral_centroid,spectral_bandwidth,spectral_flatness,spectral_slope,spectral_roll_off
0.0078125,0.0078125,0.0,0.0,1.0,0.0,0.9999999999998002,0.0,0.0078125
-0.2890625,-0.2890625,114217216.94999999,892322.0074218749,-0.008216340087063354,0.3335527753960288,0.7276956253524196,-38.7156929638939,-0.2578125
-0.1171875,-0.1171875,357530756.47,2793209.034921875,-0.004112492494002308,0.2791420937523336,0.7875324959347083,-2.918686260399732,-0.1640625
0.140625,0.140625,567822958.3899999,4436116.862421874,-0.0012267926807747003,0.24778299691684547,0.7452982314304478,54.85686533117184,-0.125
0.140625,0.140625,724616489.35,5661066.323046875,-0.002020935656173625,0.23179635113517427,0.7165490261285795,41.86321704489678,-0.1171875
0.0546875,0.0546875,888610963.48,6942273.1521875,-0.00215674087551812,0.22131787733371147,0.7228808051810675,44.793407896088105,-0.09375
-0.0546875,-0.0546875,957425643.52,7479887.84,-0.0016819143911448575,0.2149663847871346,0.7128158366937565,56.618382197890206,-0.0859375
0.0546875,0.0546875,1036617901.91,8098577.358671875,-0.00023419742912634205,0.21779477572043449,0.6696781245024174,92.12741816101286,-0.078125
0.0546875,0.0546875,1079926761.35,8436927.823046874,-6.411754035621412e-05,0.20600724648948168,0.6592586076970883,94.8574766707745,-0.078125
0.0546875,0.0546875,1196107553.28,9344590.26,-0.0005577629004593896,0.21338749595349507,0.6948146427720011,85.77197504620769,-0.078125
0.0546875,0.0546875,1306423561.24,10206434.0721875,-0.0005517985458128316,0.19776405504748226,0.6536287337858181,90.07310742006071,-0.0546875
0.046875,0.046875,1349168742.9999998,10540380.804687498,-0.0007310235757928462,0.20703996105712083,0.6797477707603324,88.60856285627428,-0.0625
0.0703125,0.0703125,1228024738.2,9593943.2671875,-0.0004959462198882332,0.2047726583175116,0.643198991934509,91.72239640694872,-0.0546875
0.0703125,0.0703125,1361068787.0399997,10633349.898749998,-0.00011358122727800311,0.20798583360288,0.6743992773707587,106.04346098538333,-0.0703125
0.0703125,0.0703125,1364721902.68,10661889.8646875,-0.000860534722215202,0.20592947977409326,0.6360846324107724,81.21505738931647,-0.0625
0.0390625,0.0390625,1506177073.7600002,11767008.388750002,-0.001639624045801853,0.20566031254498818,0.6336567246776484,61.9922884721589,-0.0625
0.0390625,0.0390625,1683037350.63,13148729.301796876,-0.0011594868955799897,0.1944407218134503,0.6182089804036898,83.94041560326039,-0.0546875
0.0390625,0.0390625,1513595757.75,11824966.857421875,-0.0046932880527816604,0.202927868723019,0.654305374446959,-21.858855914994905,-0.0546875
0.0390625,0.0390625,1509544270.4700003,11793314.613046877,-0.0008308767898091435,0.1953518459507083,0.6048795511110406,92.12755478920757,-0.0546875
0.03125,0.03125,1779706786.4000003,13903959.268750003,-0.0022334880200469706,0.19961405348458314,0.6767654186065993,53.21000347832454,-0.0546875
-0.0390625,-0.0390625,1661427773.5900002,12979904.481171876,-0.0009853280334683689,0.20127692002891678,0.6526892234069624,89.91669322390423,-0.0546875
-0.0390625,-0.0390625,1581873658.8799999,12358387.959999999,-0.0022801031516080663,0.19717116224398712,0.621072052087755,48.72691961164564,-0.0546875
0.0390625,0.0390625,1701256483.84,13291066.28,-0.0009941332413384949,0.19682791941256866,0.6552917327138118,90.08948241019674,-0.0546875
-0.0390625,-0.0390625,1799105751.0400004,14055513.680000003,-0.0009376025566602539,0.19121495536115027,0.5892615877292018,89.79798277782255,-0.046875
0.015625,0.015625,1676885431.5900004,13100667.434296878,-0.0004016431061083217,0.18560716573732,0.6054971481756065,105.09723068131626,-0.046875
0.015625,0.015625,1619829944.3200004,12654921.440000003,-0.0018638788968667866,0.20563707782650975,0.6664039596408259,63.71596304341711,-0.046875
0.015625,0.015625,1387540237.72,10840158.1071875,-0.0013023379527360294,0.20179966577715908,0.6915843923899412,75.10971480559986,-0.046875
0.0234375,0.0234375,1518177011.51,11860757.902421875,-0.0010309394500581444,0.1925762964816436,0.6513850390657826,84.10842487508573,-0.0390625
-0.0234375,-0.0234375,1456914481.7500005,11382144.388671879,-0.0019498081897742483,0.20291963132588656,0.6826012052649427,57.48995264793845,-0.046875
0.0234375,0.0234375,1472713018.2300003,11505570.454921877,-0.0021403038504966445,0.21228219488227665,0.6905092180936943,50.91000042668552,-0.046875
0.0234375,0.0234375,1626727710.9499998,12708810.241796874,-0.0015923141661749844,0.1996080358301261,0.6487353996324826,66.52235768240931,-0.046875
0.03125,0.03125,1721688890.7199998,13450694.458749998,-0.0006580024505407552,0.19499096637459906,0.6185882861143163,93.02170482363019,-0.03125
0.03125,0.03125,1431905890.6299999,11186764.770546874,-0.001361952796378682,0.1998016246132447,0.657418923023979,66.11096385904831,-0.03125
0.0234375,0.0234375,1230547229.35,9613650.229296874,-0.0028886334377403278,0.20335748512339102,0.6882608140908638,26.695805267789456,-0.046875
-0.078125,-0.078125,887191001.1900002,6931179.696796876,-0.000758500007732309,0.21532081860118585,0.719047338354501,75.92514224710126,-0.0625
-0.03125,-0.03125,827519765.7200004,6464998.169687503,-0.000604751524026119,0.22105280433050478,0.7319379245206146,78.73082645887341,-0.0703125
0.0234375,0.0234375,898523072.0,7019711.5,-0.0012469768920165595,0.21033041435579589,0.6965329504033095,64.62017793314898,-0.0625
0.0234375,0.0234375,1121871581.0800002,8764621.727187501,-0.0017671242056816487,0.20539360270354412,0.6999737642530697,56.76789473179032,-0.0546875
0.0234375,0.0234375,1439810984.8,11248523.31875,-0.0010716616854990204,0.19504830901121412,0.6519370186761272,80.21725297770811,-0.046875
