dominant_freq,peak_freq,total_power,avg_power,spectral_centroid,spectral_bandwidth,spectral_flatness,spectral_slope,spectral_roll_off
0.0078125,0.0078125,0.0,0.0,1.0,0.0,0.9999999999998002,0.0,0.0078125
0.2890625,0.2890625,114722415.19000003,896268.8686718752,-0.008141502990689279,0.33350597792835834,0.7297161286066768,-38.15103602943817,-0.2578125
-0.1171875,-0.1171875,359430073.19000006,2808047.4467968754,-0.004232964645374245,0.2794291334751396,0.7784762527427947,-4.91340607933907,-0.1640625
0.140625,0.140625,570451909.1199998,4456655.539999998,-0.0013052457818029525,0.24784164836801403,0.7641676884407977,53.214641232700245,-0.125
0.140625,0.140625,730721661.44,5708762.98,-0.002263491728006361,0.2319451226175493,0.7178789302595172,36.45462008208932,-0.1171875
-0.0546875,-0.0546875,879794297.8299999,6873392.951796874,-0.0022573076119327936,0.22217499267744534,0.694139187240369,41.771972262890245,-0.1015625
0.0546875,0.0546875,939722506.07,7341582.078671875,-0.0015641594809821054,0.2152516654067276,0.727731153637663,59.88541201418005,-0.0859375
0.0546875,0.0546875,1005392985.51,7854632.699296875,-0.0002719814402672679,0.22059325571590088,0.7022200502872324,90.26896974881062,-0.0859375
0.0546875,0.0546875,1063550623.0000004,8308989.242187503,-0.0009981805496999726,0.21082411826234157,0.6986068781038618,72.56947192515902,-0.078125
-0.0546875,-0.0546875,1178470263.96,9206798.9371875,-2.9840692705163492e-05,0.21316950672990667,0.6773413827158539,99.4343693217483,-0.078125
0.0546875,0.0546875,1301412665.9099998,10167286.452421874,-0.00013519667972113002,0.19881702265186596,0.6092385674781774,103.21782328617367,-0.0625
0.046875,0.046875,1279869679.4299998,9998981.870546874,-0.0005906535504412059,0.20914553089936058,0.679438199325296,91.60110530873071,-0.0703125
-0.0703125,-0.0703125,1180075924.76,9219343.1621875,-0.0012886357711947717,0.2061195246489528,0.6892531023508544,69.61698230752178,-0.0625
0.0703125,0.0703125,1309847828.4799998,10233186.159999998,-0.0004332075889936715,0.20860328337393402,0.6604279968496887,96.2284122975884,-0.0703125
0.0703125,0.0703125,1332593951.6399996,10410890.247187497,-0.0017321093122186768,0.20772590037134342,0.6743451038858999,58.33684335765479,-0.0703125
0.0703125,0.0703125,1435664841.4300003,11216131.573671877,-0.002424027181399476,0.2114722704707032,0.6409850772461836,40.45686985165394,-0.0625
0.0390625,0.0390625,1576319830.3600004,12314998.674687503,-0.0011876346323767008,0.19916780669834888,0.61562890330531,81.00109573414615,-0.0625
0.0390625,0.0390625,1472042469.7200003,11500331.794687502,-0.004794595937749606,0.20355914773894543,0.6581845475265252,-24.547477355032353,-0.0625
0.0390625,0.0390625,1425412506.3099997,11136035.205546873,-0.0002480006300749254,0.19446848707881687,0.6239653480513746,107.31582253733579,-0.0546875
0.03125,0.03125,1666144007.9599996,13016750.062187497,-0.0019432082639056132,0.20362921518628577,0.6784055670378444,60.57511704143349,-0.0546875
0.09375,0.09375,1518972271.4299996,11866970.870546872,-0.0011942527812177752,0.20364273857258788,0.6423469379900616,81.10117590272003,-0.0546875
0.03125,0.03125,1390746437.7200003,10865206.544687502,-0.002735873490153321,0.19878189004414618,0.637728581338356,34.164265724940535,-0.0546875
0.0390625,0.0390625,1568691624.92,12255403.3196875,-0.0007689425394797281,0.19781620479316894,0.6700395201615801,95.17860953447001,-0.0625
0.0390625,0.0390625,1654939351.3500001,12929213.682421876,-0.0005908390776060873,0.19446755249493225,0.6482536778061913,98.7354766045757,-0.0546875
0.015625,0.015625,1557710509.1100001,12169613.352421876,-0.0010168283231164388,0.19138944554463885,0.6225175612781841,85.7974250765467,-0.0546875
0.0234375,0.0234375,1383927762.5200002,10811935.644687502,-0.002001252737224276,0.21309985160052689,0.6855836680392003,56.117355522718306,-0.0546875
0.0234375,0.0234375,1240243026.23,9689398.642421875,-0.0019424105815483478,0.2060504653039082,0.6623785109728506,53.495089594088185,-0.046875
0.0234375,0.0234375,1365974266.5500002,10671673.957421876,-0.0016842881481975002,0.19866113124726734,0.6349129287378441,60.79902010904733,-0.046875
-0.0234375,-0.0234375,1545366069.0799997,12073172.414687498,-0.0016609134661575249,0.20135224257837495,0.6682983276331775,62.66058306886704,-0.0390625
0.0234375,0.0234375,1548499206.24,12097650.04875,-0.002168943292204858,0.20399568603664608,0.6447258680659703,47.95811091630645,-0.0390625
-0.0234375,-0.0234375,1506927074.4,11772867.76875,-0.00027752686470229224,0.19352684420026928,0.6235222993238628,96.42895974645236,-0.0390625
0.0234375,0.0234375,1171841154.9500003,9155009.023046877,-0.000741555371611009,0.1981544562425996,0.6070210653888506,75.28641010563781,-0.0546875
0.0234375,0.0234375,1059474608.1499999,8277145.376171874,-0.0014860096950532846,0.20377372368750468,0.639846369117197,59.219103739676946,-0.0546875
-0.03125,-0.03125,989889717.1200001,7733513.415000001,-0.0021537105166763416,0.20801203324378556,0.6879056742046508,41.87412932577335,-0.0625
0.03125,0.03125,926320590.0400001,7236879.609687501,-0.0010075790027781622,0.21173334532462995,0.7013444751173455,67.84645431598594,-0.0625
0.03125,0.03125,1203616869.72,9403256.7946875,-0.0014737296041627236,0.2029515125699651,0.6331707265971387,61.069516895756486,-0.0546875
0.0234375,0.0234375,1379105482.7100003,10774261.583671877,-0.0012564198511328796,0.19787504631538852,0.6527253385446642,69.90025155981348,-0.046875
0.0234375,0.0234375,1314375791.19,10268560.868671875,-0.0011247700647853338,0.20807736330399845,0.6987870723990167,76.73598097906131,-0.0546875
-0.0234375,-0.0234375,1366371809.75,10674779.763671875,-5.490588927558495e-05,0.2003534625553492,0.6787843114686376,109.04664876425888,-0.0546875
0.0234375,0.0234375,1177403496.15,9198464.813671876,-0.0013125866138444047,0.20423159557076256,0.6866704177112475,70.73727757530065,-0.0546875
0.0546875,0.0546875,977864054.6799997,7639562.927187498,-4.897239663516962e-05,0.2112102829387032,0.6463022298132131,96.76551755273758,-0.0625
-0.0234375,-0.0234375,927857057.1199999,7248883.258749999,-0.0017824766606236477,0.217811447596654,0.7717711712619603,56.11874948015491,-0.078125
-0.109375,-0.109375,1012500554.08,7910160.57875,-0.0023837194102167805,0.21765887289194744,0.6967514940459925,39.99795021057112,-0.078125
0.0234375,0.0234375,1021660640.39,7981723.753046875,-0.0011773158652248542,0.2191444993645742,0.7194920061508429,68.90850617862166,-0.078125
0.0234375,0.0234375,1065647207.4300001,8325368.8080468755,-0.0011610962427220438,0.21619490214536666,0.6734723725441243,68.28683905349942,-0.0859375
-0.0859375,-0.0859375,1038348379.16,8112096.7121875,-0.00014639257773231955,0.1987171161777128,0.6680535565394772,95.65006845489845,-0.078125
0.109375,0.109375,1063725100.6399999,8310352.348749999,-0.0002149475623592993,0.20407358848122556,0.6585869408640275,93.35060503695433,-0.0859375
-0.0234375,-0.0234375,1187315206.23,9275900.048671875,-0.0011630469835455428,0.20842367253114802,0.6870525443329373,75.05647026040437,-0.078125
0.0234375,0.0234375,1242412397.9200003,9706346.858750002,-0.0011829363086224452,0.19357327062067137,0.668619859102744,77.96931524717948,-0.0625
0.0703125,0.0703125,1137809871.1900003,8889139.618671877,-0.0018760564728862873,0.1976198864297753,0.6167829617261831,55.2109925302181,-0.0703125
-0.0703125,-0.0703125,1128140036.76,8813594.0371875,-0.0003592544050722426,0.21107951878367623,0.6936278424654905,95.23725993267347,-0.0703125
0.0625,0.0625,967155183.5899999,7555899.871796874,-0.0006519360166875271,0.2182467780740253,0.712853301709712,81.895899196351,-0.0703125
-0.09375,-0.09375,956200044.07,7470312.844296875,-0.0002992810626828248,0.21186414221506397,0.6690679223364889,92.36390236470758,-0.078125
-0.0703125,-0.0703125,954124487.5199999,7454097.558749999,-0.0009278175088147471,0.2221229428438838,0.720948328665692,75.59387945094387,-0.0859375
